text,source,claim_num,group
bill gates   along with a coalition dubbed id 2020  seeks to microchip the world population using a covid 19 vaccine,snopes,42,1
if you look at the one (hydroxychloroquine) survey the only bad survey they were giving it to people that were in very bad shape they were very old almost dead,politifact,43,1
a video shows joe biden looking at books about dementia.,politifact,44,3
hurricane hanna hitting texas has blown over part of a border wall.,politifact,45,3
says no one has died from the coronavirus in the united states,politifact,46,1
"joe biden said, the things i did while in elected office should not be made public while i am seeking a higher public office.",politifact,47,2
says the current survival rate for covid 19 in the us is 9854,politifact,48,0
the president looks like he was ahead of the curve  as you know he talks about this all the time  on shutting down travel from china,politifact,49,1
two stamps needed for mail-in ballots.,politifact,50,2
the coronavirus is the common cold folks,politifact,51,1
says 80 of novel coronavirus cases are mild,politifact,52,0
says texas either is near the bottom or at the very bottom when it comes to testing per capita,politifact,53,0
data show that more white people than black people are shot and killed by police.,politifact,54,2
the obama administration made a decision on testing that turned out to be very detrimental to what were doing on the coronavirus,politifact,55,1
says joe biden has written a letter of apology for calling trumps travel restrictions from china xenophobic,politifact,56,1
models projecting covid 19 deaths are talking about without mitigation,politifact,57,1
says harvard scientists say the coronavirus is spreading so fast that it will infect 70 of humanity this year,politifact,58,0
says the asian hong kong swine and bird flus each killed more people than coronavirus,politifact,59,1
a photo shows ex-minneapolis police officer derek chauvin wearing a make whites great again hat.,politifact,60,3
church services cant resume until were all vaccinated says bill gates,politifact,61,1
teens and tweens transmit sars cov 2 quicker and more efficiently than adults ,snopes,62,0
if you line up all the countries that have done (covid 19) testing on a per capita basis were at the bottom of the list,politifact,63,1
says tom hanks was arrested in australia for pedophilia.,politifact,64,3
"Democratic leaders in Orange County, California, are trying to change the name of John Wayne Airport.",snopes,65,2
obesity is like the no 1 factor in whether you really get hit hard by covid 19,politifact,66,0
nfl will fly a black lives matter flag under the american flag at games.,politifact,67,3
says house speaker nancy pelosi deleted a video of her telling people to go to chinatown,politifact,68,1
during the 2009 swine flu outbreak biden made reckless comments unsupported by science & the experts the obama admin had to clean up his mess & apologize for his ineptitude,politifact,69,0
says students have to repeat the same grade next year,politifact,70,1
during the 1918 flu pandemic san francisco residents formed the anti mask league san francisco was ultimately one of the cities that suffered the most with a high death rate,politifact,71,0
if you ask amazons alexa about the origin of the coronavirus pandemic it says the government planned it,politifact,72,1
the owner of taco bell said them animals need to be shot (black ppl)!,politifact,73,3
"says democrats are embracing abortion up until the moment of birth and even, horrifically, after that.",politifact,74,3
michigan house passes bill to voluntarily begin placing human implantable microchips into the bodies of all state government employees,politifact,75,3
barack obama is the first ex president to ever speak against his successor,politifact,76,1
our country and constitution was built on a foundational separation of church and state.,politifact,77,2
"i thought it was a terrible thing when (nancy pelosi) ripped up the speech. first of all, it's an official document. you're not allowed. it's illegal what she did. she broke the law.",politifact,78,3
mcdonalds (makes) you all sign noncompete contracts that you cannot go across town to try to get a job at burger king.,politifact,79,3
The address to the White House changed from 1600 Pennsylvania Avenue to 1600 Black Lives Matter Plaza.,snopes,80,3
Tear gas is a chemical weapon banned in international law for use in warfare. ,snopes,81,2
"today, the gap between african american and white homeownership is larger than it was in the late 1960s.",politifact,82,2
says nancy pelosi was caught trying to include abortion funding in bill to combat coronavirus,politifact,83,1
"a joe biden-bernie sanders unity policy document shows they want to abolish our police departments. they want to abolish our prisons, i guess.",politifact,84,3
cuba has a lung cancer vaccine we in the us had no access to because we sanctioned cuba.,politifact,85,2
says taylor swift wants to remove the statue of liberty,politifact,86,3
covid 19 cases are up only because of our big number testing,politifact,87,1
the 9/11 memorial in nyc was just defaced with graffiti.,politifact,88,3
the cdc just confirmed a 02 death rate for covid19,politifact,89,1
first volunteer in uk coronavirus vaccine trial has died,politifact,90,1
"traditionally, the speaker says: members of congress, i have the high privilege and distinct honor of presenting to you the president of the united states. (tonight) speaker pelosi said, members of congress, the president of the united states.",politifact,91,2
us president donald trump said that increased covid 19 testing makes the us look bad by increasing coronavirus case numbers,snopes,92,0
the mortality rate for the flu is right around that of the new coronavirus: its right around 2,politifact,93,1
says president donald trump said people are dying who have never died before,politifact,94,1
if you have had a flu shot in the last 3 5 years you will probably test positive for covid 19,politifact,95,1
all schools in canada are closed for the rest of the school year each family will receive $950 every two weeks for the next 15 weeks banks were notif(ied) to suspend mortgage payments for at least 6 months and student loans deferred,politifact,96,0
says a pandemic occurs exactly every 100 years,politifact,97,1
says 99 of covid 19 cases are totally harmless,politifact,98,1
march 2020 was the first march without a school shooting in the us since 2002,snopes,99,1
says joe biden called antifa courageous americans.,politifact,100,3
no tear gas was used and no rubber bullets were used.,politifact,101,3
"under my administration, 7 million americans have come off of food stamps, and 10 million people have been lifted off of welfare.",politifact,102,2
microwaving fabric masks is a good way to sanitize them for reuse,snopes,103,1
some states are only getting 50 tests per day and the utah jazz got 58,politifact,104,0
says sen. chuck schumer deleted a feb. 5 tweet criticizing president donald trumps decision to ban some forms of travel to and from china.,politifact,105,3
video shows seattle police in uniform vandalizing a building to frame protesters.,politifact,106,3
cases numbers and deaths (of covid 19) are going down all over the country!,politifact,107,0
says democratic leaders arent wearing masks or social distancing in private,politifact,108,1
the flu killed 80000 people in the us last year,politifact,109,1
says melania trump lied under oath in 2013 about graduating from college with a bachelors degree in architecture.,politifact,110,2
vegetarians are unaffected by covid 19 because the virus is passed on through eating meat ,snopes,111,1
black cats in vietnam are being killed and consumed as a covid 19 cure,politifact,112,1
so oscar health the company tapped by trump to profit from covid tests is a kushner company imagine that profits over national safety,politifact,113,0
the obama administration didn't do anything about swine flu,politifact,114,1
people are starting to enter ers with fungal lung infections from wearing masks!!,politifact,115,1
the democrats are pushing for an implanted microchip in humans and everyone to be vaccinated,politifact,116,1
59 people die as pastor gives them dettol to drink in church to prevent coronavirus,politifact,117,1
"nancy pelosi ordered a 220-seat boeing 757 to fly to her home state, costing taxpayers nearly $5.8 million annually.",politifact,118,3
video shows joe biden stuttering after being asked about touching women without their permission on the view.,politifact,119,3
the confederacy was more about states rights than slavery.,politifact,120,3
new zealand let health experts rather than politicians make decisions about how to deal with covid 19 and as of today they have zero covid cases,politifact,121,0
we have one of the lowest mortality rates in the world from covid 19,politifact,122,1
a photograph shows one petri dish that was coughed on by a person not wearing a mask and another petri dish coughed on by the same person wearing a mask ,snopes,123,0
go to 2020censusgov and fill out this census form so you can get your stimulus check,politifact,124,1
says covid 19 came to the united states in 2019,politifact,125,1
joe biden just told @lawrence that as president he would veto medicare for all if it passed both houses and came to his desk.,politifact,126,2
"pick up a product. look at the barcode. if the first 3 numbers are 690 or 691 or 692, the product was made in china.",politifact,127,3
"last year, there were nine unarmed black people killed (by law enforcement). nineteen unarmed white people.",politifact,128,3
says herman cain died of cancer not covid 19,politifact,129,1
a vaccine meant for cattle can be used to fight covid 19 ,snopes,130,1
a common cold can cause a positive covid 19 test,politifact,131,1
says democrats blocked the iowa poll and blocked the iowa caucus.,politifact,132,3
go look at other countries that went through exactly this started to reopen and then they saw the infection rate go back up again,politifact,133,0
covid 19 is named so because it is the 19th chinese originated viral infectious disease,snopes,134,1
a photo shows portland protesters pointing lasers at federal officers.,politifact,135,3
now as it stands our health care system has adequate ventilators icu beds medical professionals,politifact,136,1
a critically endangered malabar civet was seen for the first time since the 1990s during a covid 19 lockdown in india,snopes,137,1
hospitals get paid more to list patients as covid 19,politifact,138,0
says rudy giuliani bought $2m in shares of novartis a primary supplier of hydroxychloroquine in early february,politifact,139,1
a photo shows the lincoln memorial. his head damaged and defaced.,politifact,140,3
clearly the obama administration did not leave any kind of game plan for something like this,politifact,141,1
george floyds murder filmed before covid 19,politifact,142,1
stay at home orders actually are the law of these states,politifact,143,0
the gates foundation has the patent for this coronavirus,politifact,144,1
conservative supreme court justices vote remotely to deny wisconsin voters their right to vote remotely.,politifact,145,2
all us citizens are entitled to $700 usd per week to stay at home to avoid the spread of covid 19 novel coronavirus starting from march 17,politifact,146,1
a photo shows air force one at the 2020 daytona 500.,politifact,147,3
says joe biden has said 150 million americans died from guns and another 120 million from covid 19,politifact,148,0
suggests trump urged sick people to get out and vote during covid 19 pandemic,politifact,149,1
silver solution used on strains of coronavirus totally eliminate it kills it deactivates it,politifact,150,1
"Trump tweeted in 2014 that America could expect ""riots and looting"" due to ""weak leadership in Washington.""",snopes,151,2
says nancy pelosi was arrested after ripping a copy of the state of the union speech.,politifact,152,3
on february 7 the who warned about the limited stock of ppe that same day the trump administration announced it was sending 18 tons of masks gowns and respirators to china,politifact,153,0
six months before the covid plandemic bill gates had negotiated a $100 billion contact tracing deal with (the) democratic congressman sponsor of bill,politifact,154,1
videos show president donald trump saying i cant breathe.,politifact,155,3
trump administration just fired 54 scientists & cut off 77 grants at fauci's nih for not disclosing their ties to communist china!,politifact,156,2
bill gates is quoted in the february 1997 issue of george magazine as saying an over populated planet would be choked to extinction by a lung attacking virus,snopes,157,1
says president trump said coronavirus testing makes the us look bad so i said to my people slow the testing down,politifact,158,0
sweden has zero lockdown and is in no worse shape than denmark or norway which are in lockdown,politifact,159,1
says george soros is funding the chaos in minneapolis via his open society foundations.,politifact,160,3
the cdc readjusted the covid 19 death toll from 60000 down to 37000,snopes,161,1
the cdc issued its first warning on jan 8 trump held campaign rallies on jan 9 jan 14 jan 28 jan 30 feb 10 feb 19 feb 20 feb 21 & feb 28 he golfed on jan 18 jan 19 feb 1 feb 15 mar 7 mar 8 the first time he admitted the coronavirus might be a problem was mar 13,politifact,162,0
north carolina is one of four states that hasn't opened gyms,politifact,163,0
"in sanctuary cities, local officials order police to release dangerous criminal aliens to prey upon the public instead of handing them over to ice to be safely removed.",politifact,164,3
"detroit spent $294 million on police last year, and $9 million on health.",politifact,165,2
says 1 in 5 texans did not have health insurance coverage before the pandemic and now nearly 1 in 3 texans under the age of 65 dont have access to health care insurance,politifact,166,0
a photo shows brian kemp posing with gregory mcmichael,politifact,167,1
no other country is having a second wave of covid 19 because they are not trying to unseat a president in november,politifact,168,1
nascar eliminated the national anthem at races.,politifact,169,3
says president donald trump is morbidly obese,politifact,170,1
now theyre doing tests on airlines  very strong tests  for getting on getting off theyre doing tests on trains  getting on getting off,politifact,171,1
st corona is the patron saint of plagues ,snopes,172,1
says jimmy carter has endorsed bernie sanders.,politifact,173,3
these peaceful protesters burned these horses to death.,politifact,174,3
says donald trump cut funding to the cdc fired the pandemic response team refused who tests and wasted two weeks calling this outbreak a democrat hoax,politifact,175,1
per order from govwhitmer people in michigan are now banned from purchasing a new baby car seat in stores,politifact,176,1
says bernie sanders voted against the brady bill five times for background checks on people.,politifact,177,2
corona virus: florida man arrested for robbery using cough as a weapon,politifact,178,1
more than 20 police officers are dead now because of the riots.,politifact,179,3
at the end of the year we put into that federal pot $116 billion more than we take out while kentucky takes out $148 billion more than they put in,politifact,180,0
scientists are shocked to discover that weed kills corona virus,politifact,181,1
"says fired inspector general michael atkinson brought a terrible, inaccurate whistleblower report to congress.",politifact,182,3
trumps star on the hollywood walk of fame has been destroyed.,politifact,183,3
the trump administration promised 27 million tests by the end of march as of now only 4 million have been completed,politifact,184,0
"the flu killed 80,000 americans last year according to the cdc.",politifact,185,3
"did you see president trumps record turnout? iowa - 32,389 republicans.",politifact,186,2
"according to its website black lives matter, inc is not a charity. it is a full-fledged corporation that does not have any locations.",politifact,187,3
"says joe biden proposed killing over 600,000 jobs supported by fracking.",politifact,188,3
there were not chemical irritants used to clear a crowd. pepper balls are not a chemical irritant.,politifact,189,3
all missouri businesses can open monday may 4 under our new order as long as new guidelines are followed,politifact,190,1
ice arrests la mayor for harboring fugitives through sanctuary city.,politifact,191,3
says special military helicopters will spray pesticide against the corona virus in the skies all over the country,politifact,192,1
as of june 23 the covid 19 death rate is way down,politifact,193,0
fish tank additive may treat coronavirus,politifact,194,1
covid literally stands for chinese originated viral infectious disease,politifact,195,1
covid 19 is now the leading cause of death in the united states,politifact,196,0
says coronavirus is just the damn flu,politifact,197,1
says a video shows joe biden lolling his tongue.,politifact,198,3
says mike pence was caught on a hot mic delivering empty boxes of ppe to a nursing home and pretended they were heavy,politifact,199,1
politicians receive full pay retirement after serving 1 term!,politifact,200,3
"last year, for the first time in 51 years, the cost of prescription drugs actually went down.",politifact,201,3
says tom hanks name is on jeffrey epsteins flight logs.,politifact,202,3
says nancy pelosis daughter is on the board of the kennedy center so thats why it was so important to send them all that money,politifact,203,1
a face mask exempt card allows you to cite the ada and not wear a mask,politifact,204,1
chuck woolery wrote on twitter that his son had tested positive for covid 19 ,snopes,205,0
federal agents in portland have been kidnapping and holding citizens without charges.,politifact,206,2
says gov. tony evers has never had a real job.,politifact,207,3
says joe biden is absolutely on board with defunding the police.,politifact,208,3
michael bloomberg did not poll well as mayor in handling crisis!,politifact,209,2
"piles of bricks are being staged in cities around the country, indicating riots are planned.",politifact,210,3
80 of the people want the option of vote by mail,politifact,211,0
says there is no covid 19 virus,politifact,212,1
new york times editor admits biden sexual assault story was censored at behest of biden campaign,politifact,213,1
the death of george floyd was a staged event.,politifact,214,3
says the nih 15 years ago published a study on chloroquine it is effective against covid (1),politifact,215,1
i certainly supported barack obama and joe biden. ... i was there both times for them.,politifact,216,2
says the cdc recommends men shave their beards to protect against coronavirus,politifact,217,1
new autopsy reports suggest jeffrey epstein most likely died from covid 19 complications,politifact,218,1
the cdc recommends that only people with covid 19 symptoms should wear masks,politifact,219,1
45 nations had already moved to enforce travel restrictions with china before the president moved,politifact,220,0
says president trump tweeted that he spoke with george floyds family and said they were honored to hear from him.,politifact,221,3
hospitals get paid $750 for patients who die from the flu $17500 for covid 19,politifact,222,1
says anthony fauci is married to ghislaine maxwells sister,politifact,223,1
says nevada gov steve sisolak has banned the use of an anti malaria drug that might help cure coronavirus,politifact,224,1
the trump administration fired the us pandemic response team in 2018 to cut costs,snopes,225,0
hallmark greeting cards are made in china ,snopes,226,1
says nancy pelosi called social security recipients leeches and burdens on society.,politifact,227,3
this is tara reade in a photo with joe biden.,politifact,228,3
says bernie sanders voted against the auto bailout,politifact,229,2
marquette university threatened to rescind students admission over pro-trump tiktok video.,politifact,230,3
quotes joe biden as saying people who have never died before are now dying from coronavirus,politifact,231,1
if you maintain social distancing indoors there's no reason to have an additional mask on top of that,politifact,232,1
no city in the state can quarantine itself without state approval,politifact,233,0
greta thunberg going on hunger strike until trump is removed.,politifact,234,3
"while we are all sitting here debating, wisconsin has kicked hundreds of thousands of people off of their voting rolls.",politifact,235,3
says target ended its heroes & helpers program that pairs children with police officers for holiday shopping trips.,politifact,236,3
trump and mcconnell are blocking stimulus checks for americans married to immigrants,politifact,237,1
us hospitals are preparing for 96 million coronavirus infections and nearly half a million deaths leaked documents reveal,politifact,238,1
there are 360000 (deaths) a year from swimming pools but we dont shut the country down for that,politifact,239,1
mitch mcconnell said he wanted states to go bankrupt instead of the federal government providing relief today thom tillis agreed,politifact,240,1
"socialist workers party leader bernie sanders supported ayatollah khomeini against the us, condemned president carter for imperialism, and accused the hostages of being cia spies.",politifact,241,3
texas lt gov dan patrick said covid 19 social distancing restrictions should be eased because there are more important things than living,snopes,242,0
more people have died from knowing hillary than coronavirus,politifact,243,1
says joe biden has advocated cutting social security for 40 years,politifact,244,3
the poor are ironically the most likely to be employed in the industries deemed essential while their upper class peers are freed to bunker down for weeks until the first death wave passes,politifact,245,0
mosquitoes can transfer covid 19 from person to person,politifact,246,1
the health insurance industry has agreed to waive all co payments for coronavirus treatments,politifact,247,1
n95 masks block few if any covid 19 particles due to their size,politifact,248,1
trey gowdy said im not saying covid 19 isnt real but pay attention folks theres much more going on here than what meets the eye,politifact,249,1
huge! results from breaking chloroquine study show 100 cure rate for patients infected with the coronavirus,politifact,250,1
nancy pelosi said if you accept a check from trump you might as well vote for him,politifact,251,1
why did the state do that with covid patients in nursing homes? its because the state followed president trumps cdc guidance,politifact,252,1
says president barack obama waited six months to call swine flu an emergency after thousands died,politifact,253,1
ultraviolet radiation is administered into the body as a disinfectant to kill bacteria and viruses and this has been used for a while now,politifact,254,1
putin has stated: russian citizens (have) 2 options: stay home for 15 days or in jail for 5 years,politifact,255,1
people of color may be immune to the coronavirus because of melanin,politifact,256,1
the government of italy is calling for the arrest of bill gates ,snopes,257,1
starbucks ceo has admitted she doesnt like white people,politifact,258,3
italian parliament calls for the arrest of bill gates,politifact,259,1
this virus has a cure it is called hydroxychloroquine zinc and zithromax i know you people want to talk about a mask hello? you dont need (a) mask there is a cure,politifact,260,1
bill gates is being sued by india over the deaths of girls resulting from vaccinations,snopes,261,1
multiple studies all said for decades masks do not work with viruses,politifact,262,1
this particular pandemic is one where i dont think nationwide theres been a single fatality under 25,politifact,263,1
"with voting by mail, you get thousands and thousands of people sitting in somebody's living room, signing ballots all over the place.",politifact,264,3
the obama administration left trump with a stockpile with a cupboard that was bare,politifact,265,1
the world health organization now admits that asymptomatic transmission of covid 19 is very rare,politifact,266,0
michigan governor gretchen whitmer bans buying us flags during lockdown,politifact,267,1
you had the last two administrations deport twice as many people as we deported  twice as many.,politifact,268,2
joe biden and the democrats want to prosecute americans for going to church but not for burning a church,politifact,269,1
there is no science or data to suggest that kids are at risk from covid,politifact,270,1
i would do press events in may i would never be asked about coronavirus'',politifact,271,1
its not the coronavirus thats killing people it is the economy,politifact,272,1
the world health organization offered the testing kits that they have available and to give it to us now we refused them we did not want to buy them,politifact,273,1
you weren't allowed to own a cannon during the revolutionary war as an individual.,politifact,274,3
kennedy center pbs donated to democrats after getting covid 19 stimulus money,politifact,275,1
years of economic decay are over because trump reversed the failed economic policies of the previous administration.,politifact,276,3
says donald trump tweeted i ordered the treasury secretary to send checks to americans! first however we will go through your social media history from the last 4 years and search for any post with #notmypresident in it i wouldnt think of offending you with a check if im not your president! #maga,politifact,277,1
the who coronavirus test was a bad test,politifact,278,1
young people have a greater chance of being killed by the hpv vaccine than covid 19,politifact,279,1
why did the us (nih) in 2017 give $37m to the wuhan lab in china? such grants were prohibited in 2014 did pres obama grant an exception?,politifact,280,1
trump bailed out wall street but not main street,politifact,281,1
"the nfl agreed to give the domestic terror group, blm, 250 million dollars.",politifact,282,3
"when fidel castro came into office, you know what he did? he had a massive literacy program.",politifact,283,2
"Minnesota Attorney General Keith Ellison once tweeted a picture of himself holding a book titled ""Antifa: The Anti-Fascist Handbook."" ",snopes,284,2
a photo shows a center for global population reduction at the bill & melinda gates foundation headquarters.,politifact,285,3
this is covid 19 not covid 1 folks and so you would think the people charged with the world health organization facts and figures would be on top of that,politifact,286,1
poll finds 38 of americans say they will not drink corona beer because of virus,politifact,287,1
everyone on this stage except amy (klobuchar) and me is either a billionaire or is receiving help from pacs that can do unlimited spending.,politifact,288,2
the trump administration has had zero unfulfilled equipment and supply requests from state governors,politifact,289,1
you know whats in this bill? no medical malpractice suits until 2024 even if theyre not covid related,politifact,290,1
the trump administration is trying to take food assistance away from wisconsin families when people are out of work and struggling,politifact,291,0
says george floyd appeared on judge judy.,politifact,292,3
weve still had more deaths to the flu this year than we've had covid 19,politifact,293,1
the mainstream media pretended there was a deadly surge in covid cases thanks to wisconsinites voting,politifact,294,1
we were slow with the testing but very quick with the travel ban and that's been much more critical in saving lives,politifact,295,1
author dean koontz predicted the 2020 new coronavirus outbreak in his 1981 novel the eyes of darkness,snopes,296,1
we've done more tests in eight days than south korea has done in eight weeks.,politifact,297,3
north carolina & virginia state line is closed nothing in or out,politifact,298,1
new study: the flu vaccine is 'significantly associated' with an increased risk of coronavirus,politifact,299,1
the federal emergency management agency is providing $4800 in hazard pay to those who have been working during the covid 19 pandemic ,snopes,300,1
wearing a mask to prevent the spread of covid 19 is unnecessary because the disease can also be spread via farts ,snopes,301,1
the seasonal flu kills more people every year in the us than covid 19 has to date ,snopes,302,1
searching for any three digit number followed by new cases on google provides evidence that the covid 19 pandemic was manufactured ,snopes,303,1
a government employee named christopher harrington filed a patent for a cv19 n95 mask in 2015,snopes,304,1
in response to a question in a july 2020 cnn interview about what would happen if a covid 19 outbreak occurred in schools us education secretary betsy devos said you cant plan for something that hasnt happened yet,snopes,305,1
as of july 17 2020 nueces county in texas had seen 85 positive covid 19 tests among children aged under 1 year,snopes,306,1
the covid 19 pandemic was planned by the rockefeller foundation in operation lockstep,snopes,307,1
thirty three florida labs were busted for cooking the books or tampering with data after not reporting negative covid 19 test results between march and july 2020,snopes,308,1
dr anthony fauci compared emerging research about coronavirus with what the scientific community knows about chickenpox  as well as other viruses  and criticized people who were not taking steps to prevent the spread of covid 19,snopes,309,1
all businesses in the us are required to accept coins andor currency as payment,snopes,310,1
a 2007 study showed burning sage kills 94 of bacteria,snopes,311,1
covid 19 could lose its epidemic status in the united states because of declining coronavirus death rates according to cdc data,snopes,312,1
in july 2020 us education secretary betsy devos said only 02 of the country's k 12 school students  totaling 14740 children and teens  are likely to die from covid 19 when and if schools fully reopen,snopes,313,1
us president donald trump tweeted that south dakota should close its border with california,snopes,314,1
covid 19 vaccinations which have already killed several youngsters will be required before children will be allowed to return to school ,snopes,315,1
dr denis mukwege said he resigned from the coronavirus task force in the democratic republic of the congo because he was being offered money to falsify covid 19 cases,snopes,316,1
us president donald trumps june 20 2020 election rally in tulsa oklahoma during the coronavirus pandemic could be connected to two days of 100 positive covid 19 tests reported in the state more than a week later,snopes,317,1
a photograph shows queen elizabeth wearing a yellow face mask during the covid 19 coronavirus disease pandemic,snopes,318,1
on june 25 2020 at a campaign event in pennsylvania democratic presidential candidate joe biden incorrectly said 120 million people had died of the covid 19 coronavirus disease,snopes,319,1
an image shows a mural painted in 1994 at denver international airport that shows citizens of the world wearing masks ,snopes,320,1
the us department of justice issued a card that exempts holders from wearing face masks on the grounds that it poses a health risk to them due to medical conditions they aren't required to disclose by authority of the americans with disabilities act (ada),snopes,321,1
a cellular service outage on june 15 2020 enabled apple and google to covertly install covid 19 tracking apps onto phones,snopes,322,1
a facebook post is correct in saying n95 masks surgical masks and cloth masks can be dangerous andor ineffective in protecting against the spread of covid 19 based on cdc and us occupational safety and health administration (osha) guidelines ,snopes,323,1
an image shows the official covid 19 series of nfl helmets ,snopes,324,1
the 2011 movie captain america predicted the coronavirus pandemic ,snopes,325,1
on the same day california announced it would provide some undocumented residents covid 19 stimulus payments it also announced it would lay off first responders because of a lack of funds,snopes,326,1
a photograph shows a vacant sand covered highway to dubai during covid 19 stay at home orders ,snopes,327,1
some 59 people died after a pastor gave them dettol to drink to supposedly prevent coronavirus ,snopes,328,1
cbs news tried to pass off a photograph taken in ukraine in 2016 as a picture of a us child afflicted with a coronavirus related disease in 2020,snopes,329,1
rudy giuliani correctly tweeted that a research lab in wuhan china got a $37 million grant from the us in 2017 despite a ban on such funding,snopes,330,1
a photograph of non respirator ear loop mask packaging demonstrates that such masks are ineffective at protecting against the spread of covid 19,snopes,331,1
a video shows a piece of 5g equipment with cov 19 inscribed on it ,snopes,332,1
martial arts movie star chuck norris has died from the covid 19 coronavirus disease,snopes,333,1
melinda gates wore an upside down cross in broadcast interviews in may 2020 to denounce christianity,snopes,334,1
the government in oklahoma is planning to detain people unless they can show proof of vaccination,snopes,335,1
an anonymous person witnessed democratic legislators in washington dc giddy over the economic fallout during the covid 19 coronavirus disease pandemic,snopes,336,1
people vaccinated for seasonal influenza face higher chances of catching sars cov 2 which causes covid 19 or testing positive for the virus when they do not actually have it ,snopes,337,1
us president donald trump tweeted that barack obama had 8 years to prepair the next president for a pandemic and he failed,snopes,338,1
a public service announcement illustrates the pitfalls of reckoning acceptable deaths when making decisions about reopening the economy during the covid 19 coronavirus disease pandemic,snopes,339,1
a letter from california authorities warns that residents who receive state assistance benefits will no longer be eligible for them if they don't get tested for covid 19; further if parents test positive children in their household who test negative will be placed in temporary foster care until their parentsguardians recover ,snopes,340,1
americans without disabilities can legally use a federal ada loophole to avoid wearing a mask in stores that require them ,snopes,341,1
the covid 19 testing reaching and contacting everyone (trace) act or hr 6666 would authorize federally administered covid 19 testing groups to enter american homes and force testing against residents' will and then take those who test positive to quarantine sites,snopes,342,1
pandemic related shutdown orders are unconstitutional and persons arrested for violating them can collect damages,snopes,343,1
on may 4 2020 us house speaker nancy pelosi said she wants the federal government's next economic relief bill during the covid 19 coronavirus pandemic to establish guaranteed minimum incomes for illegal aliens,snopes,344,1
us president donald trump tweeted that some oldies will have to die during the covid 19 coronavirus disease pandemic in order for american shops to reopen ,snopes,345,1
researcher judy mikovits was arrested without a warrant and jailed without charges for making a controversial scientific discovery,snopes,346,1
